position,velocity,density,energy,pressure
-0.600141, -0.015667, 0.541381, 2.499965, 0.541377 
-0.598344, -0.024320, 0.620713, 2.499877, 0.620697 
-0.596505, -0.028321, 0.695861, 2.499805, 0.695834 
-0.594636, -0.029036, 0.764129, 2.499771, 0.764094 
-0.592745, -0.027249, 0.823623, 2.499778, 0.823587 
-0.590835, -0.023400, 0.873243, 2.499822, 0.873212 
-0.588909, -0.017727, 0.912671, 2.499895, 0.912652 
-0.586968, -0.010365, 0.942369, 2.499983, 0.942366 
-0.585027, -0.002951, 0.963516, 2.500057, 0.963527 
-0.583097, 0.003139, 0.977955, 2.500104, 0.977975 
-0.581177, 0.008071, 0.987453, 2.500132, 0.987479 
-0.579267, 0.011955, 0.993448, 2.500148, 0.993478 
-0.577366, 0.014873, 0.997079, 2.500156, 0.997110 
-0.575473, 0.016810, 0.999205, 2.500159, 0.999237 
-0.573587, 0.018019, 1.000431, 2.500160, 1.000464 
-0.571808, 0.007265, 1.001111, 2.500133, 1.001138 
-0.570015, -0.001902, 1.001435, 2.500063, 1.001448 
-0.568202, -0.008860, 1.001422, 2.499981, 1.001420 
-0.566368, -0.013483, 1.001110, 2.499911, 1.001094 
-0.564505, -0.014881, 1.000574, 2.499883, 1.000550 
-0.562624, -0.013877, 0.999922, 2.499879, 0.999898 
-0.560727, -0.011400, 0.999275, 2.499909, 0.999257 
-0.558809, -0.006643, 0.998759, 2.499964, 0.998751 
-0.556885, -0.001194, 0.998479, 2.500016, 0.998482 
-0.554968, 0.003535, 0.998489, 2.500051, 0.998499 
-0.553057, 0.007535, 0.998779, 2.500072, 0.998793 
-0.551152, 0.010800, 0.999290, 2.500084, 0.999306 
-0.549254, 0.013329, 0.999931, 2.500089, 0.999949 
-0.547363, 0.015107, 1.000594, 2.500091, 1.000612 
-0.545478, 0.016228, 1.001163, 2.500092, 1.001181 
-0.543700, 0.005361, 1.001523, 2.500064, 1.001536 
-0.541900, -0.002977, 1.001625, 2.500004, 1.001626 
-0.540080, -0.009100, 1.001451, 2.499937, 1.001439 
-0.538240, -0.013013, 1.001033, 2.499885, 1.001010 
-0.536372, -0.013874, 1.000437, 2.499872, 1.000409 
-0.534497, -0.013357, 0.999762, 2.499867, 0.999735 
-0.532603, -0.011542, 0.999115, 2.499904, 0.999095 
-0.530684, -0.006682, 0.998614, 2.499963, 0.998607 
-0.528760, -0.001198, 0.998360, 2.500017, 0.998364 
-0.526842, 0.003544, 0.998398, 2.500052, 0.998409 
-0.524931, 0.007545, 0.998713, 2.500073, 0.998728 
-0.523026, 0.010808, 0.999245, 2.500085, 0.999262 
-0.521129, 0.013308, 0.999901, 2.500090, 0.999920 
-0.519237, 0.015096, 1.000575, 2.500092, 1.000594 
-0.517353, 0.016148, 1.001151, 2.500093, 1.001170 
-0.515574, 0.005332, 1.001516, 2.500065, 1.001529 
-0.513774, -0.003015, 1.001620, 2.500004, 1.001621 
-0.511955, -0.009137, 1.001447, 2.499938, 1.001435 
-0.510115, -0.013041, 1.001030, 2.499885, 1.001007 
-0.508247, -0.013883, 1.000434, 2.499872, 1.000406 
-0.506372, -0.013350, 0.999759, 2.499867, 0.999733 
-0.504477, -0.011524, 0.999113, 2.499904, 0.999093 
-0.502559, -0.006657, 0.998613, 2.499963, 0.998605 
-0.500634, -0.001180, 0.998359, 2.500017, 0.998363 
-0.498716, 0.003557, 0.998398, 2.500052, 0.998408 
-0.496805, 0.007554, 0.998713, 2.500073, 0.998728 
-0.494901, 0.010780, 0.999245, 2.500085, 0.999262 
-0.493003, 0.013294, 0.999902, 2.500090, 0.999920 
-0.491112, 0.015092, 1.000576, 2.500092, 1.000594 
-0.489227, 0.016151, 1.001151, 2.500093, 1.001170 
-0.487449, 0.005316, 1.001516, 2.500065, 1.001529 
-0.485649, -0.003040, 1.001620, 2.500004, 1.001621 
-0.483829, -0.009161, 1.001447, 2.499938, 1.001435 
-0.481989, -0.013052, 1.001029, 2.499885, 1.001007 
-0.480121, -0.013880, 1.000434, 2.499872, 1.000406 
-0.478246, -0.013340, 0.999759, 2.499867, 0.999732 
-0.476351, -0.011511, 0.999113, 2.499904, 0.999093 
-0.474433, -0.006645, 0.998613, 2.499963, 0.998605 
-0.472509, -0.001172, 0.998359, 2.500017, 0.998363 
-0.470591, 0.003562, 0.998398, 2.500052, 0.998408 
-0.468680, 0.007515, 0.998713, 2.500073, 0.998728 
-0.466776, 0.010759, 0.999245, 2.500085, 0.999262 
-0.464878, 0.013287, 0.999902, 2.500090, 0.999920 
-0.462986, 0.015095, 1.000576, 2.500093, 1.000594 
-0.461102, 0.016161, 1.001151, 2.500093, 1.001170 
-0.459323, 0.005309, 1.001516, 2.500065, 1.001529 
-0.457524, -0.003055, 1.001620, 2.500004, 1.001621 
-0.455704, -0.009167, 1.001447, 2.499937, 1.001435 
-0.453864, -0.013045, 1.001030, 2.499884, 1.001007 
-0.451996, -0.013869, 1.000434, 2.499872, 1.000406 
-0.450120, -0.013329, 0.999759, 2.499867, 0.999733 
-0.448226, -0.011503, 0.999113, 2.499904, 0.999093 
-0.446307, -0.006644, 0.998613, 2.499963, 0.998605 
-0.444383, -0.001173, 0.998359, 2.500017, 0.998363 
-0.442466, 0.003510, 0.998398, 2.500052, 0.998408 
-0.440555, 0.007485, 0.998713, 2.500073, 0.998727 
-0.438650, 0.010745, 0.999244, 2.500085, 0.999261 
-0.436752, 0.013287, 0.999901, 2.500091, 0.999919 
-0.434861, 0.015106, 1.000575, 2.500093, 1.000594 
-0.432976, 0.016176, 1.001151, 2.500093, 1.001170 
-0.431198, 0.005310, 1.001516, 2.500065, 1.001529 
-0.429398, -0.003049, 1.001620, 2.500004, 1.001621 
-0.427578, -0.009150, 1.001448, 2.499937, 1.001436 
-0.425738, -0.013025, 1.001030, 2.499884, 1.001007 
-0.423870, -0.013851, 1.000434, 2.499872, 1.000406 
-0.421995, -0.013318, 0.999760, 2.499867, 0.999733 
-0.420100, -0.011502, 0.999113, 2.499904, 0.999094 
-0.418182, -0.006654, 0.998613, 2.499963, 0.998606 
-0.416258, -0.001242, 0.998359, 2.500017, 0.998363 
-0.414340, 0.003465, 0.998397, 2.500052, 0.998408 
-0.412429, 0.007459, 0.998712, 2.500073, 0.998727 
-0.410525, 0.010737, 0.999243, 2.500085, 0.999260 
-0.408627, 0.013293, 0.999900, 2.500091, 0.999918 
-0.406735, 0.015120, 1.000574, 2.500093, 1.000593 
-0.404850, 0.016196, 1.001150, 2.500093, 1.001169 
-0.403072, 0.005332, 1.001515, 2.500066, 1.001529 
-0.401272, -0.003017, 1.001620, 2.500004, 1.001622 
-0.399452, -0.009116, 1.001448, 2.499937, 1.001436 
-0.397612, -0.012995, 1.001031, 2.499884, 1.001008 
-0.395744, -0.013830, 1.000435, 2.499872, 1.000408 
-0.393869, -0.013308, 0.999761, 2.499866, 0.999734 
-0.391975, -0.011508, 0.999114, 2.499903, 0.999095 
-0.390057, -0.006746, 0.998614, 2.499962, 0.998606 
-0.388133, -0.001306, 0.998359, 2.500016, 0.998363 
-0.386215, 0.003424, 0.998397, 2.500052, 0.998407 
-0.384304, 0.007438, 0.998711, 2.500074, 0.998726 
-0.382399, 0.010734, 0.999242, 2.500085, 0.999259 
-0.380501, 0.013301, 0.999899, 2.500091, 0.999917 
-0.378609, 0.015137, 1.000573, 2.500093, 1.000592 
-0.376725, 0.016219, 1.001150, 2.500093, 1.001168 
-0.374946, 0.005371, 1.001515, 2.500066, 1.001529 
-0.373146, -0.002973, 1.001620, 2.500004, 1.001622 
